last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Posey, Buster,2016,.293,.490,.368,.368,.194,90.5,9.8,7.1,
Espinosa, Danny,2016,.210,.379,.296,.307,.167,86.4,12.0,9.1,
Bruce, Jay,2016,.250,.469,.333,.311,.217,88.8,14.6,8.7,
Votto, Joey,2016,.304,.536,.404,.418,.229,89.6,11.6,9.7,
Gardner, Brett,2016,.258,.348,.318,.349,.086,85.4,6.3,2.4,
Saunders, Michael,2016,.239,.420,.325,.326,.180,89.6,10.7,8.3,
Braun, Ryan,2016,.291,.476,.358,.355,.181,89.9,4.3,8.4,
Gordon, Alex,2016,.232,.425,.327,.323,.191,87.8,15.4,8.7,
Kemp, Matt,2016,.265,.518,.347,.304,.250,88.2,14.4,11.1,
Andrus, Elvis,2016,.285,.387,.328,.349,.099,86.9,8.4,1.8,
Cabrera, Melky,2016,.281,.385,.317,.333,.102,89.2,10.9,2.1,
Ramos, Wilson,2016,.286,.493,.358,.337,.201,90.7,4.8,7.6,
Santana, Carlos,2016,.273,.512,.385,.379,.235,90.7,14.1,9.8,
Gonzalez, Carlos,2016,.280,.472,.346,.334,.189,90.1,8.6,8.8,
Mercer, Jordy,2016,.259,.362,.307,.332,.099,86.1,10.1,2.2,
Belt, Brandon,2016,.268,.495,.385,.390,.226,87.2,21.0,11.3,
Carter, Chris,2016,.236,.532,.368,.335,.294,91.7,18.5,17.6,
Alonso, Yonder,2016,.265,.410,.324,.328,.141,88.1,10.4,4.1,
Escobar, Yunel,2016,.282,.385,.323,.336,.098,88.8,1.3,2.8,
Cespedes, Yoenis,2016,.283,.526,.373,.359,.240,91.7,16.3,9.8,
Ramirez, Alexei,2016,.240,.300,.256,.276,.056,84.3,8.9,0.5,
Davis, Khris,2016,.257,.561,.370,.318,.302,91.7,12.9,17.0,
Martinez, J.D.,2016,.296,.569,.399,.368,.272,91.4,13.4,14.2,
Valencia, Danny,2016,.284,.470,.352,.344,.183,90.0,9.9,7.8,
Murphy, Daniel,2016,.328,.573,.406,.378,.242,90.6,16.8,8.5,
Goldschmidt, Paul,2016,.272,.458,.367,.392,.183,91.0,11.1,7.8,
Gonzalez, Marwin,2016,.243,.393,.294,.283,.146,86.2,6.5,5.4,
Altuve, Jose,2016,.324,.528,.391,.386,.201,87.5,10.9,6.9,
Hernandez, Cesar,2016,.285,.364,.327,.364,.073,84.2,2.3,1.8,
Segura, Jean,2016,.302,.481,.360,.353,.176,88.2,6.9,5.9,
Castro, Starlin,2016,.269,.423,.316,.301,.151,88.5,8.9,5.4,
Marte, Starling,2016,.288,.439,.338,.341,.147,86.6,8.4,5.4,
Donaldson, Josh,2016,.285,.561,.410,.405,.274,92.0,14.7,12.5,
Freeman, Freddie,2016,.286,.580,.405,.388,.292,91.3,17.3,13.7,
Heyward, Jason,2016,.263,.357,.311,.335,.092,86.7,10.6,2.7,
LeMahieu, DJ,2016,.343,.494,.397,.414,.148,90.4,4.8,4.9,
Lucroy, Jonathan,2016,.276,.473,.349,.342,.194,87.6,14.7,7.6,
Moreland, Mitch,2016,.252,.472,.337,.316,.217,90.5,14.7,9.6,
Rizzo, Anthony,2016,.268,.486,.365,.364,.216,89.0,16.4,9.2,
Vogt, Stephen,2016,.261,.414,.315,.314,.152,85.8,19.2,5.1,
Galvis, Freddy,2016,.239,.356,.273,.273,.114,85.6,12.4,3.0,
Perez, Salvador,2016,.238,.399,.293,.280,.158,88.8,19.1,6.3,
Forsythe, Logan,2016,.275,.483,.357,.344,.206,90.0,13.5,7.5,
Inciarte, Ender,2016,.268,.332,.296,.330,.061,84.5,7.0,0.7,
Ozuna, Marcell,2016,.278,.466,.344,.332,.185,90.7,10.8,7.8,
Villar, Jonathan,2016,.262,.396,.331,.350,.132,88.0,2.9,6.6,
Crawford, Brandon,2016,.256,.412,.322,.328,.154,88.3,12.1,5.6,
Harrison, Josh,2016,.261,.377,.291,.292,.113,85.2,11.5,2.1,
Hosmer, Eric,2016,.266,.451,.339,.331,.181,91.6,3.6,9.4,
Kipnis, Jason,2016,.272,.452,.348,.342,.177,89.1,13.9,6.7,
Miller, Brad,2016,.248,.440,.324,.310,.191,90.3,11.7,9.7,
Rendon, Anthony,2016,.276,.459,.355,.356,.181,90.8,16.9,5.9,
Semien, Marcus,2016,.230,.412,.305,.293,.179,87.8,15.1,6.7,
Shaw, Travis,2016,.233,.418,.308,.298,.183,88.5,16.1,8.0,
Springer, George,2016,.257,.461,.355,.355,.201,89.3,8.6,10.5,
Gregorius, Didi,2016,.251,.356,.278,.281,.102,85.0,13.5,2.9,
Trout, Mike,2016,.311,.575,.430,.439,.262,90.8,12.9,14.6,
Herrera, Odubel,2016,.258,.377,.315,.337,.116,86.9,9.3,4.2,
Harper, Bryce,2016,.258,.448,.356,.388,.187,88.6,14.6,7.5,
Martin, Leonys,2016,.233,.348,.288,.297,.112,85.6,11.0,5.3,
Abreu, Jose,2016,.286,.476,.355,.348,.187,89.7,10.3,8.1,
Suarez, Eugenio,2016,.235,.398,.310,.306,.160,86.6,15.7,6.5,
Polanco, Gregory,2016,.279,.449,.343,.345,.168,89.6,13.5,6.3,
Schoop, Jonathan,2016,.263,.416,.310,.296,.151,87.4,12.0,6.7,
Arenado, Nolan,2016,.264,.476,.347,.337,.209,89.4,18.7,9.0,
Gennett, Scooter,2016,.239,.350,.288,.296,.106,86.7,11.7,3.9,
Lamb, Jake,2016,.251,.480,.350,.336,.227,91.3,10.4,12.1,
Myers, Wil,2016,.257,.433,.337,.337,.174,88.6,10.2,7.0,
Piscotty, Stephen,2016,.270,.468,.351,.341,.195,88.1,13.4,8.6,
Seager, Kyle,2016,.293,.516,.380,.374,.220,90.1,16.5,9.2,
Carpenter, Matt,2016,.285,.541,.397,.393,.254,89.7,17.0,11.3,
Dickerson, Corey,2016,.233,.441,.307,.283,.206,89.0,17.9,11.1,
Dozier, Brian,2016,.239,.458,.330,.314,.218,87.5,18.4,8.3,
Iglesias, Jose,2016,.266,.325,.289,.318,.056,82.5,7.1,0.7,
Hechavarria, Adeiny,2016,.273,.359,.296,.318,.082,87.4,7.5,1.1,
Bryant, Kris,2016,.272,.550,.388,.368,.277,89.3,20.9,11.9,
Machado, Manny,2016,.295,.534,.375,.347,.236,90.3,14.7,9.5,
Realmuto, J.T.,2016,.278,.400,.317,.321,.119,88.6,9.8,4.1,
Yelich, Christian,2016,.310,.513,.391,.390,.198,92.4,2.5,9.7,
Bogaerts, Xander,2016,.264,.406,.324,.329,.140,88.8,11.3,5.3,
Calhoun, Kole,2016,.276,.457,.353,.354,.179,89.5,14.8,6.2,
Duvall, Adam,2016,.246,.490,.337,.302,.243,88.6,19.0,12.1,
Eaton, Adam,2016,.285,.408,.342,.363,.120,86.9,3.4,3.1,
Lindor, Francisco,2016,.293,.424,.340,.355,.129,88.4,7.7,4.1,
Odor, Rougned,2016,.262,.463,.323,.290,.198,88.3,13.1,7.8,
Cuthbert, Cheslor,2016,.239,.334,.276,.286,.093,89.2,12.3,2.4,
Franco, Maikel,2016,.264,.436,.325,.316,.169,89.6,11.9,7.1,
Bradley Jr., Jackie,2016,.253,.444,.340,.339,.189,90.1,10.1,8.6,
Betts, Mookie,2016,.289,.457,.345,.339,.165,89.7,12.5,5.3,
Panik, Joe,2016,.261,.403,.325,.337,.141,86.1,12.1,4.7,
Pillar, Kevin,2016,.266,.367,.295,.304,.099,86.2,10.4,3.0,
Ramirez, Jose,2016,.290,.418,.335,.345,.125,88.0,12.9,3.0,
Russell, Addison,2016,.241,.420,.322,.324,.177,87.2,15.2,9.3,
Seager, Corey,2016,.304,.519,.378,.363,.212,91.0,10.2,8.3,
Mazara, Nomar,2016,.261,.425,.326,.320,.161,88.0,8.4,6.8,
Garcia, Adonis,2016,.288,.429,.328,.326,.137,89.0,7.9,5.2,
Correa, Carlos,2016,.289,.481,.370,.374,.189,91.0,6.9,7.7,
Tomas, Yasmany,2016,.280,.494,.349,.321,.212,90.6,9.8,10.6,
Hunter, Torii,2015,.236,.375,.291,.290,.139,88.1,10.1,5.0,
Ortiz, David,2015,.303,.615,.416,.388,.312,92.9,15.6,13.1,
Rodriguez, Alex,2015,.249,.493,.363,.356,.243,91.3,12.1,10.9,
Ramirez, Aramis,2015,.249,.412,.307,.301,.162,87.4,15.8,5.6,
Beltre, Adrian,2015,.303,.491,.364,.353,.186,89.5,12.8,5.5,
Beltran, Carlos,2015,.281,.453,.347,.345,.171,90.6,15.4,5.8,
Rollins, Jimmy,2015,.232,.332,.279,.293,.100,84.5,14.8,2.5,
Pujols, Albert,2015,.271,.486,.347,.332,.213,90.6,13.8,7.9,
Byrd, Marlon,2015,.244,.434,.309,.288,.188,86.4,11.8,8.5,
Mauer, Joe,2015,.282,.430,.340,.356,.146,89.0,3.7,3.7,
Cabrera, Miguel,2015,.326,.596,.431,.431,.268,93.6,12.3,10.6,
Gonzalez, Adrian,2015,.282,.500,.365,.358,.217,88.6,14.0,8.1,
Phillips, Brandon,2015,.294,.390,.316,.328,.095,86.0,10.2,2.3,
Reyes, Jose,2015,.257,.310,.272,.296,.052,83.1,11.5,0.2,
Peralta, Jhonny,2015,.273,.431,.331,.334,.158,88.1,12.9,5.1,
Choo, Shin-Soo,2015,.261,.453,.359,.365,.191,90.4,7.3,8.7,
Molina, Yadier,2015,.252,.344,.281,.295,.088,86.3,10.0,2.3,
Fielder, Prince,2015,.280,.458,.349,.358,.177,90.8,9.8,6.4,
Cano, Robinson,2015,.296,.472,.352,.344,.175,91.0,5.6,7.1,
Encarnacion, Edwin,2015,.276,.540,.387,.374,.263,90.2,16.8,10.7,
Howard, Ryan,2015,.269,.515,.354,.315,.245,91.2,14.6,11.7,
Bautista, Jose,2015,.260,.509,.384,.386,.249,92.0,16.7,12.6,
Jones, Adam,2015,.285,.492,.347,.323,.206,87.9,11.2,9.2,
Aybar, Erick,2015,.292,.362,.303,.324,.069,83.1,4.1,0.9,
Martin, Russell,2015,.241,.417,.333,.334,.175,88.7,9.0,8.2,
