year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1937,screenplay,the awful truth,the awful truth,0,0,0,0,0,93.0,fresh,none,93.0,5
1937,screenplay,the life of emile zola,the life of emile zola,1,0,0,0,0,78.0,fresh,none,78.0,9
1938,production design,the adventures of robin hood,the adventures of robin hood,1,0,0,0,0,100.0,certified fresh,none,100.0,3
1938,score,the adventures of robin hood,the adventures of robin hood,1,0,0,0,0,100.0,certified fresh,none,100.0,3
1938,picture,the adventures of robin hood,the adventures of robin hood,0,0,0,0,0,100.0,certified fresh,none,100.0,3
1939,actor,gone with the wind,clark gable,0,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,actor,wuthering heights,laurence olivier,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,actor,mr smith goes to washington,james stewart,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,supporting actor,mr smith goes to washington,harry carey,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,supporting actor,stagecoach,thomas mitchell,1,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,supporting actor,mr smith goes to washington,claude rains,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,actress,ninotchka,greta garbo,0,0,0,0,0,97.0,fresh,none,97.0,4
1939,actress,gone with the wind,vivien leigh,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,supporting actress,gone with the wind,olivia de havilland,0,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,supporting actress,wuthering heights,geraldine fitzgerald,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,supporting actress,gone with the wind,hattie mcdaniel,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,production design,gone with the wind,gone with the wind,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,production design,mr smith goes to washington,mr smith goes to washington,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,production design,stagecoach,stagecoach,0,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,production design,the wizard of oz,the wizard of oz,0,0,0,0,0,98.0,certified fresh,none,98.0,5
1939,production design,wuthering heights,wuthering heights,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,cinematography,stagecoach,stagecoach,0,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,cinematography,wuthering heights,wuthering heights,1,0,0,0,0,95.0,fresh,none,95.0,8
