Name,Team,playerid
Erick Fedde,WSH,17425
Junior Fernandez,STL,18496
Joely Rodriguez,TEX,11487
Aaron Barrett,WSH,11243
Joe Jimenez,DET,15761
Cody Reed,CIN,15232
Thomas Pannone,TOR,17281
Shaun Anderson,SFG,19453
Pierce Johnson,SDP,13435
Yusei Kikuchi,SEA,20633
David McKay,DET,19814
Cy Sneed,HOU,16106
Lucas Sims,CIN,13470
Chris Mazza,BOS,14151
Homer Bailey,MIN,8362
Corbin Martin,ARI,19884
Enyel De Los Santos,PHI,18403
Dillon Peters,LAA,18790
Ray Black,MIL,14244
Erik Swanson,SEA,16587
Asher Wojciechowski,BAL,10836
Jose Quijada,LAA,19200
Robert Dugger,MIA,19191
Edgar Garcia,PHI,19276
Gregory Soto,DET,19677
Anthony Kay,TOR,20387
Dylan Cease,CWS,18525
Nestor Cortes,SEA,17874
Justus Sheffield,SEA,17285
Cole Irvin,PHI,19244
David Hess,BAL,16130
Ariel Jurado,TEX,17030
Sam Howard,PIT,16265
Stephen Tarpley,MIA,15859
Jorge Lopez,KCR,14527
Daniel Gossett,OAK,16164
Ronald Bolanos,SDP,20041
Tom Murphy,SEA,13499
Reggie McClain,PHI,19311
Glenn Sparkman,KCR,15200
Clay Holmes,PIT,13649
Kolby Allard,TEX,18694
Jose De Leon,CIN,15463
Corbin Burnes,MIL,19361
Jeff Hoffman,COL,17432
Logan Allen,CLE,18555
Lewis Thorpe,MIN,15906
Yacksel Rios,PIT,15007
Yohander Mendez,TEX,14391
Jacob Rhame,NYM,15267
John Schreiber,DET,20020
Josh D. Smith,CIN,13629
Dillon Tate,BAL,17796
Corey Oswalt,NYM,13677
Tanner Rainey,WSH,17610
David Bednar,SDP,19569
Carson Fulmer,CWS,18311
Stephen Gonsalves,NYM,15492
Eric Skoglund,KCR,16155
Burch Smith,OAK,12784
Cionel Perez,HOU,19614
Dovydas Neverauskas,PIT,11604
Tommy La Stella,LAA,12371
Jedd Gyorko,MIL,10816
Nick Margevicius,SEA,20395
Peter Fairbanks,TBR,17998
Bobby Wahl,MIL,14832
Bryse Wilson,ATL,19990
Mike Mayers,LAA,15451
Daniel Descalso,CHC,8392
Jose Suarez,LAA,19911
Mitch Keller,PIT,17594
Kevin Plawecki,BOS,13807
Peter Lambert,COL,17969
Adbert Alzolay,CHC,17859
Gabe Speier,KCR,17170
Phillip Diehl,COL,20030
Brock Burke,TEX,17968
Sean Poppen,MIN,19583
Gerardo Reyes,SDP,16306
Jordan Romano,TOR,16122
Richard Lovelady,KCR,19337
Kyle Wright,ATL,19665
Josh Lindblom,MIL,7882
Josh Sborz,LAD,18323
Dillon Maples,CHC,14672
Chance Adams,KCR,18135
Evan Phillips,BAL,17734
Kyle McGowin,WSH,15071
Walker Lockett,NYM,13804
Jeff Mathis,TEX,3448
Chris Davis,BAL,9272
